,state,term,outcome,croscor,lagd
248,Alaska,qanon,daily_vaccinations,-0.003332427,-7
249,Alaska,qanon,daily_vaccinations,0.065647776,-6
250,Alaska,qanon,daily_vaccinations,-0.07283072,-5
251,Alaska,qanon,daily_vaccinations,-0.062904732,-4
252,Alaska,qanon,daily_vaccinations,-0.028542744,-3
253,Alaska,qanon,daily_vaccinations,-0.02395496,-2
254,Alaska,qanon,daily_vaccinations,-0.044331966,-1
255,Alaska,qanon,daily_vaccinations,-0.101153699,0
256,Alaska,qanon,daily_vaccinations_per_million,0.038857543,-14
257,Alaska,qanon,daily_vaccinations_per_million,-0.059117641,-13
258,Alaska,qanon,daily_vaccinations_per_million,0.097701979,-12
259,Alaska,qanon,daily_vaccinations_per_million,0.174431505,-11
260,Alaska,qanon,daily_vaccinations_per_million,-0.017665286,-10
261,Alaska,qanon,daily_vaccinations_per_million,-0.022314543,-9
262,Alaska,qanon,daily_vaccinations_per_million,-0.077327141,-8
263,Alaska,qanon,daily_vaccinations_per_million,-0.003235963,-7
264,Alaska,qanon,daily_vaccinations_per_million,0.065594366,-6
265,Alaska,qanon,daily_vaccinations_per_million,-0.072818902,-5
266,Alaska,qanon,daily_vaccinations_per_million,-0.062910749,-4
267,Alaska,qanon,daily_vaccinations_per_million,-0.028548214,-3
268,Alaska,qanon,daily_vaccinations_per_million,-0.023922712,-2
269,Alaska,qanon,daily_vaccinations_per_million,-0.044414606,-1
270,Alaska,qanon,daily_vaccinations_per_million,-0.101097754,0
271,Alaska,social distancing,daily_vaccinations,-0.036763229,-14
272,Alaska,social distancing,daily_vaccinations,-0.039385625,-13
273,Alaska,social distancing,daily_vaccinations,-0.015941771,-12
274,Alaska,social distancing,daily_vaccinations,-0.029297903,-11
275,Alaska,social distancing,daily_vaccinations,-0.072864509,-10
276,Alaska,social distancing,daily_vaccinations,-0.054477869,-9
277,Alaska,social distancing,daily_vaccinations,-0.041030727,-8
278,Alaska,social distancing,daily_vaccinations,0.015754231,-7
279,Alaska,social distancing,daily_vaccinations,-0.056264827,-6
280,Alaska,social distancing,daily_vaccinations,-0.043948651,-5
281,Alaska,social distancing,daily_vaccinations,-0.078003841,-4
282,Alaska,social distancing,daily_vaccinations,0.025220196,-3
283,Alaska,social distancing,daily_vaccinations,0.017160143,-2
284,Alaska,social distancing,daily_vaccinations,-0.001361051,-1
285,Alaska,social distancing,daily_vaccinations,-0.033895219,0
286,Alaska,social distancing,daily_vaccinations_per_million,-0.036754079,-14
287,Alaska,social distancing,daily_vaccinations_per_million,-0.039423429,-13
